Rank,Module genes,Cancer type,p,FDR
47,"ATP13A1, AUP1, BAK1, BAX, BAZ2B, BCL11A, BCL2, BCL2L2, CCND3, CEP55, CHIC2, CITED2, CSTF2T, DDHD2, DENND4A, ETV6, FBXO7, FLI1, FLT3, GAB2, GFI1, GNG5, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, ID2, IKZF1, IRF4, IRF8, JADE2, KCNQ5, KMT2A, LMO2, LYL1, LZTR1, MAML1, MARCH5, MARCH6, MCL1, MEF2C, MEF2D, MEIS2, MYB, NCKAP1L, NF1, PATZ1, PBX2, PIK3R5, PIM1, PLCG2, PMAIP1, POU2AF1, PRDM1, PTPN2, PTPRA, REEP4, RER1, RPS27L, SIK3, SLC5A3, SOS1, SPI1, SPRED2, SPTLC2, STAT5B, STUB1, TALDO1, TCF3, THAP3, TM2D2, TM2D3, TRIM8, UBE2J2, VDAC2, WSB1, WSB2, ZEB2, ZFP64",Haematopoietic/lymphoid,2.04E-11,7.61E-09
48,"ACAT2, AKT2, AMD1, ARID4A, AVEN, BCL6, BLK, BRIP1, CACNA1B, CCND3, CCNT1, CD19, CD79A, CD79B, CD81, CEPT1, CHD7, CYB561A3, DCLRE1A, DIS3L, DMXL1, DOCK2, EBF1, ELMO1, FDFT1, FNIP1, FOCAD, FOXO1, GALE, GDI2, GFI1, GNAI2, GPR107, GSS, GTPBP8, HBS1L, HERPUD1, ICMT, IKZF1, IKZF3, IRF4, IRF8, KLHL6, LDLRAP1, LRP10, MAN1A2, MEF2B, MEF2C, MEF2D, MLLT1, MYB, NCKAP1L, ODC1, PAG1, PAX5, PIK3CD, POU2AF1, POU2F2, PRDM1, PRKAA1, PRUNE, PTPN2, PTPRJ, RAC2, RC3H1, REEP4, RER1, RHOH, RNF121, SERPINI1, SERTAD2, SFXN1, SKIV2L, SLC16A1, SLC38A1, SLC5A3, SMAD7, SPI1, SRM, ST6GAL1, SYK, TCF3, TMEM201, TOX, TTC37, TTC7A, VPS54, WSB1, ZFAT, ZNF644",Haematopoietic/lymphoid,2.24E-11,7.79E-09
49,"ADIPOR2, ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF4, ATF7IP, AUP1, BAZ2B, BCL11A, BCL2, C1orf27, CCND3, CITED2, CSTF2T, DERL2, DMXL1, DNAJB11, DNAJC3, DOLPP1, DPM1, DPM2, DPM3, ERN1, FAF2, FBXO7, FLI1, GAB2, GFI1, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, ID2, IKBKB, IKZF1, IKZF3, IRF4, IRF8, JADE2, KCNQ5, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MANF, MEF2C, MEF2D, MEIS2, MPDU1, MYB, NCKAP1L, NFKB1, OST4, PBX2, PDE7A, PIM1, PLCG2, PMM2, POU2AF1, PRDM1, PTPN2, PTPRA, REEP4, RPS27L, RRM2B, SEC63, SEL1L, SERP1, SETDB1, SIK3, SLC33A1, SLC5A3, SMAD7, SOS1, SPI1, SPRED2, STAT5B, SURF4, SYVN1, TALDO1, TCF3, TRIM24, TRIM33, UBA5, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, WSB1, XBP1, ZEB2, ZFP64",Haematopoietic/lymphoid,2.51E-11,7.79E-09
50,"ACAT2, AKT2, ALAD, ALAS1, AMD1, ARID4A, ATP6V0A2, AVEN, AZIN1, BCL6, CCND3, CCNT1, CD19, CD79A, CD79B, CD81, CEPT1, CHD7, CYB561A3, DCLRE1A, DENND4A, DIS3L, DMXL1, DOCK2, EBF1, ELMO1, FNIP1, FOCAD, FOXO1, GALE, GCLC, GCLM, GFI1, GNAI2, GSS, HBS1L, HERPUD1, HMHA1, ICMT, IKZF1, IKZF3, IRF4, IRF8, KLHL6, LDLRAP1, LRP10, LRP8, MAML1, MAN1A2, MEF2B, MEF2C, MEF2D, MLLT1, MYB, NAMPT, NCKAP1L, NUP188, ODC1, PAG1, PAX5, PDXK, PELO, PIK3CD, POU2AF1, POU2F2, PPCDC, PPCS, PRDM1, PRKAA1, PTPN2, PTPRJ, RAC2, RC3H1, REEP4, RHOH, RNF121, SERPINI1, SERTAD2, SFXN1, SIK3, SKIV2L, SLC16A1, SLC38A1, SLC5A3, SMAD7, SPI1, SRM, ST6GAL1, STAT5B, SUCLA2, SUCLG1, SYK, TCF3, TMEM201, TOX, TPK1, TTC37, TTC7A, UROS, WSB1, ZNF217, ZNF644",Haematopoietic/lymphoid,2.53E-11,7.79E-09
51,"ARFRP1, ARL1, ARL5B, ASNA1, B3GALT6, B3GAT3, B4GALT7, BATF3, C3orf58, CBL, CCND3, CLEC16A, CNIH1, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COPE, EGFR, EXT1, EXT2, EXTL3, FAM160B1, FAM20B, FGFR1, FRS2, GAB1, GAB2, GET4, GLCE, GOLGA2, GOSR1, GOSR2, GPR107, GRB2, HS2ST1, IKZF1, IRF4, JTB, JUNB, LZTR1, MYB, NBAS, NDST1, NDST2, NEDD4L, NF1, PAPSS1, PI4KB, PTAR1, PTPN1, PTPN11, PTPN2, RAB18, RAB1A, RAB1B, RAB2A, RAB6A, RASA2, RGP1, RIC1, RIT1, RORC, RRAS2, SAR1A, SBNO2, SCFD1, SEC23IP, SEC31A, SHOC2, SLC10A7, SLC35B2, SLC39A9, SOS1, SOS2, SP110, SPRED2, STAT3, SURF4, SYS1, TM9SF2, TM9SF3, TMED10, TMED7, TMEM165, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UGDH, UNC50, VPS51, VPS52, VPS53, VPS54, WRB, XYLT2, YKT6, ZFAT",Haematopoietic/lymphoid,2.71E-11,7.87E-09
52,"ABCC9, ACRBP, AEBP2, AK4, ALG10, AMN1, ARNTL2, BCAT1, BCL2L14, BHLHE41, BICD1, C12orf60, C12orf71, C12orf77, C2CD5, C3AR1, CAPRIN2, CAPZA3, CASC1, CDKN1B, CLEC6A, DENND5B, ERGIC2, ETNK1, FAM60A, FAR2, GPR162, GPR19, GPRC5D, GRIN2B, GYS2, H3F3C, HIST4H4, IAPP, IL17RE, IPO8, ITPR2, KCNJ8, KIAA1551, KLHL3, KLHL42, KLRC1, KLRG1, KRAS, LMNTD1, LMO3, LRMP, MANSC1, MANSC4, METTL20, MFAP5, MGST1, PDE3A, PDE6H, PIANP, PIK3C2G, PKP2, PLCZ1, PLEKHA5, PPFIBP1, PRB4, PTHLH, RASSF8, RECQL, REP15, RERG, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1C1, SOX5, SPX, SSPN, ST8SIA1, STK38L, SYT10, TDG, TM7SF3, TMTC1, TSPAN11, VAMP1, YBX3",Pancreas,4.22E-11,3.34E-08
53,"ABI1, ACTR2, ACTR3, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, CD151, CDC42, CDX2, COMMD3, CRK, CRKL, CTNNB1, CYFIP1, DENND4A, DENND4C, DLG5, DOCK5, ELMO2, ELMO3, EXOC1, EXOC2, EXOC3, EXOC4, EXOC5, EXOC7, EXOC8, FERMT1, FERMT2, FGFR1OP2, GATA6, HSP90B1, ILK, ITGA3, ITGAV, ITGB1, ITGB5, JUP, KRAS, LIMS1, MAP2K5, MAP3K2, MAPK7, MARK2, MESDC2, MOB4, MYO10, NCKAP1, PAK2, PARVA, PKN2, PTK2, PTPN12, PXN, RAB10, RAB11A, RABIF, RAC1, RALGAPB, RAPGEF1, RAPH1, RBM47, RHOG, RSU1, SGK223, SNAP23, SRC, STX4, STXBP3, TAOK1, TCF7L2, TEAD1, TLN1, TNS3, TP53BP2, TRAF7, TRIO, TTC7A, UBE2Z, VASP, VCL, WASF2, WWTR1, YES1",Pancreas,4.47E-11,3.34E-08
54,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CD151, CDC42, COMMD3, CRK, CRKL, CTNNB1, CYFIP1, DENND4A, DENND4C, DLG5, DOCK5, ELMO2, ELMO3, EXOC1, EXOC2, EXOC3, EXOC4, EXOC5, EXOC7, EXOC8, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRYL, GATA6, HNF4A, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KIRREL, KRAS, LATS2, LIMS1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB4, MYO10, NCKAP1, NF2, NRP1, PAK2, PARVA, PDCD10, PKN2, PLXNA1, PTK2, PTPN12, PTPN14, PXN, RAB10, RAB11A, RABIF, RAC1, RALGAPB, RAPGEF1, RAPH1, RASAL2, RHOG, RNF146, RSU1, SGK223, SNAP23, SRC, STX4, STXBP3, TAOK1, TAOK2, TCF7L2, TEAD1, TLN1, TNS3, TP53BP2, TRIO, UBE2Z, VASP, VCL, WASF2, WWTR1, YES1",Pancreas,5.25E-11,3.43E-08
55,"ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARFRP1, ARL1, ARL5B, ASNA1, ATL2, ATP13A1, AUP1, B3GALT6, B3GAT3, B4GALT7, BNIP1, C10orf76, C19orf25, C3orf58, CAMLG, CBL, CLEC16A, CNIH1, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COL4A3BP, COPE, CYB561D2, CYB5B, DERL2, DNAJB11, DNAJC3, DPM1, DPM2, DPM3, EGFR, EXT1, EXT2, EXTL3, FAM160B1, FAM20B, FGFR1, FITM2, FOSL1, FRS2, GAB1, GDI2, GET4, GLCE, GOLGA1, GOLGA2, GOLT1B, GOSR1, GOSR2, GPR107, GPR89A, GRB2, HS2ST1, HTT, IER3IP1, INPP5K, IRF2, JTB, JUN, KRAS, LZTR1, MBTPS1, MPDU1, NAPG, NBAS, NDST1, NDST2, NEDD4L, NF1, NRAS, PAPSS1, PI4KB, PKN2, PTAR1, PTPN11, RAB18, RAB1A, RAB1B, RAB2A, RAB3GAP1, RAB3GAP2, RAB6A, RABIF, RABL3, RAF1, RASA2, RER1, RGP1, RIC1, RINT1, RRAS2, SAR1A, SCFD1, SCFD2, SCYL1, SEC23IP, SEC31A, SEL1L, SHOC2, SLC10A7, SLC33A1, SLC35B2, SLC39A9, SOS1, SPRED1, SPRED2, SPTLC2, SPTSSA, STX16, STX18, SURF4, SYS1, SYVN1, TBC1D20, TBC1D23, TM2D1, TM2D2, TM2D3, TM9SF2, TM9SF3, TMED10, TMED2, TMED7, TMEM165, TMEM167A, TMEM41B, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC3, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UBE2G2, UBE2J1, UGDH, UNC50, USE1, VPS45, VPS51, VPS52, VPS53, VPS54, VTI1A, WRB, XYLT2, YIPF5, YKT6, ZFAT, ZW10",Pancreas,8.54E-11,4.96E-08
56,"A2M, A2ML1, ABCC9, ACRBP, ACSM4, ACVR1B, ACVRL1, ADIPOR2, AEBP2, AICDA, AK4, AKAP3, ALG10, AMN1, ANKRD13B, ANKRD33, APOBEC1, APOLD1, ARF3, ARHGDIB, ARNTL2, ART4, ASIC1, ASPHD1, ATF1, ATF7IP, ATN1, B4GALNT3, BBIP1, BCAT1, BCDIN3D, BCL2L14, BHLHE41, BICD1, C12orf10, C12orf4, C12orf5, C12orf57, C12orf60, C12orf71, C12orf77, C1RL, C1S, C2CD5, C2orf76, C3AR1, C3orf33, CACNA1C, CACNA2D4, CAPRIN2, CAPZA3, CASC1, CBLB, CCDC77, CCDC91, CCND2, CD163, CD163L1, CD27, CD4, CD69, CD9, CDKN1B, CERS5, CLEC12A, CLEC12B, CLEC1A, CLEC1B, CLEC2A, CLEC2B, CLEC2D, CLEC4A, CLEC4C, CLEC4D, CLEC4E, CLEC6A, CLEC7A, CLEC9A, CLECL1, CLOCK, CLSTN3, CMAS, COL2A1, COPS7A, CPB1, CPLX4, CRACR2A, CREBL2, CSAD, CSRNP2, DAAM1, DCP1B, DENND5B, DERA, DNAJC14, DPPA3, DRD4, DUSP16, DYRK4, EMP1, ENO2, EPS8, ERC1, ERGIC2, ERP27, ETNK1, ETV6, EYA4, FAIM2, FAM186A, FAM222B, FAM60A, FAM69C, FAR2, FBXL14, FGD4, FGF20, FGF23, FGF6, FGFR1OP2, FKBP4, FLVCR2, FOXJ2, GABARAPL1, GALNT8, GDF3, GNB3, GOLT1B, GPR162, GPR19, GPRC5A, GPRC5D, GRASP, GRIN2B, GSG1, GUCY2C, GYS2, H2AFJ, H3F3C, HADHA, HDAC7, HEBP1, HIGD1C, HIST4H4, HOXC12, HTR7, IAPP, IDUA, IFFO1, IGFBP6, IL12RB2, IL17RE, ING4, IPO8, IQSEC3, ITFG2, ITPR2, KCNA1, KCNA5, KCNA6, KCNJ8, KDM5A, KIAA1467, KIAA1551, KIF5A, KLHL3, KLHL42, KLRB1, KLRC1, KLRC2, KLRC4, KLRD1, KLRF1, KLRF2, KLRG1, KLRK1, KRAS, KRBA2, KRT4, KRT5, KRT6B, KRT75, KRT77, KRT78, KRT79, KRT82, KRT83, KRT84, KRT86, LACRT, LAG3, LALBA, LDHB, LIMA1, LMNTD1, LMO3, LOH12CR1, LPAR5, LPCAT3, LRMP, LRP5, LRP6, LRRC23, LRRC70, LRTM2, LTBR, M6PR, MAATS1, MANSC1, MANSC4, MAPK4, METTL20, METTL7B, MFAP5, MGP, MGST1, MGST3, MLF2, MRO, MRPL51, MRPS35, NANOG, NDUFA4L2, NDUFA9, NECAP1, NINJ2, NPPB, NR4A1, NRIP2, NSUN6, NTF3, OCIAD1, OCLM, OLR1, OR10P1, OR51A7, PARP11, PARP15, PARPBP, PCED1B, PDE3A, PDE6H, PDYN, PEX5, PHC1, PIANP, PIK3C2G, PKP2, PLBD1, PLCL2, PLCZ1, PLEKHA5, PLEKHG6, PLS1, POLI, POU6F1, PPFIBP1, PPP1R1A, PRB1, PRB2, PRB4, PRH2, PRKAG1, PRMT8, PRPF40B, PRR4, PTHLH, PTMS, PTPN6, PTPRO, PZP, RAB5A, RAD51AP1, RAD54B, RASSF8, RBP5, RECQL, REP15, RERG, RERGL, RIMKLB, SAR1B, SCNN1A, SENP1, SERPINB7, SH3GLB1, SLC2A14, SLC2A3, SLC4A5, SLC4A8, SLC6A12, SLC6A13, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1B7, SLCO1C1, SMCO2, SMCO3, SOAT2, SOX5, SPAG1, SPSB2, SPX, SSPN, ST8SIA1, STK38L, STYK1, SYT10, TAPBPL, TAS2R10, TAS2R13, TAS2R14, TAS2R19, TAS2R20, TAS2R30, TAS2R31, TAS2R43, TAS2R46, TAS2R50, TAS2R7, TAS2R8, TAS2R9, TATDN1, TDG, TEAD4, TEX30, TF, TM7SF3, TMEM106C, TMEM52B, TMPRSS12, TMTC1, TNFRSF1A, TNFRSF9, TRIM60, TSPAN11, TSPAN9, TULP3, UGDH, UGT3A1, UTS2B, VAMP1, VWF, WNT5B, YBX3, ZBBX, ZNF117, ZNF12, ZNF384, ZNF519, ZNF641, ZNF654, ZNF655, ZNF732, ZNF846",Pancreas,1.83E-10,9.57E-08
57,"BAMBI, C12orf75, CTBP1, HACE1, HNF1A, HNF4A, LIN28B, TMEM245",Liver,4.80E-10,1.05E-06
58,"BCL9L, CTNNB1, GATA6, HNF4A, QARS, SLC1A5, TCF7L2, UBE2Z",Liver,4.80E-10,1.05E-06
59,"DET1, DUSP4, RFWD2, STK40",Skin,5.02E-10,1.75E-07
60,"CTNNB1, DENND4C, EXOC8, FERMT1, GATA6, HNF4A, RAB10, RABIF, TCF7L2, UBE2Z",Liver,6.00E-10,1.05E-06
61,"CTNNB1, GATA6, TCF7L2, UBE2Z",Large intestine,6.98E-10,3.04E-06
62,"DET1, DUSP4, DUSP5, FOSL1, HIVEP1, JUN, JUNB, RFWD2, STK40, TRIB1, WASL",Skin,1.38E-09,4.51E-07
63,"BCL9L, CTNNB1, GATA6, HNF4A, QARS, SLC1A5, TCF7L2, UBE2Z",Large intestine,1.40E-09,3.04E-06
64,"BRAF, CDCA4, CYB5R4, DUSP4, LCMT1, PPM1G, PPME1, PPP2R4, PPP4C, PPP4R2, PPP6C, PPP6R3, SMEK1, SMEK2, TIPRL",Skin,1.73E-09,5.32E-07
65,"CTNNB1, DENND4C, EXOC8, FERMT1, GATA6, HNF4A, RAB10, RABIF, TCF7L2, UBE2Z",Large intestine,1.74E-09,3.04E-06
66,"ATP13A1, BCL2, BCL2L2, ETV6, MARCH5, MCL1, PMAIP1, RER1, THAP3, TRIM8, UBE2J2",Bone,2.34E-09,1.22E-05
67,"ADAM10, C14orf80, C16orf59, C2CD3, C5orf34, CCDC77, CCP110, CCSAP, CDK5RAP2, CENPJ, CENPO, CENPP, CENPQ, CENPU, CEP120, CEP135, CEP152, CEP192, CEP350, CEP41, CEP44, CEP57, CEP63, CEP97, CTDSPL2, CTNND1, DET1, DUSP4, DUSP5, FBXO17, FGFR1OP, FOSL1, G3BP1, GABPA, GABPB1, GTPBP4, HEATR2, HIVEP1, HNF4A, HTT, HYLS1, IMMP2L, JUN, JUNB, KANSL1, KBTBD2, KIAA1731, MAP2K4, MAP2K7, MAP3K1, MAPK14, MFSD7, MIIP, PCM1, PCNT, PIAS4, PINX1, PLK4, POC1A, POC1B, POC5, PPP1R35, PPP2R3C, RFWD2, RTTN, SAMD4B, SASS6, SPICE1, SRF, STIL, STK40, TBC1D31, TDP2, TFAP4, TRIB1, TRIM37, TTLL5, TUBD1, TUBE1, URB1, WASL, WRAP73, ZFP36L1, ZNF622",Liver,5.04E-09,5.14E-06
68,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CD151, CDC42, COMMD3, CRK, CRKL, CTNNB1, CYFIP1, DENND4A, DENND4C, DLG5, DOCK5, ELMO2, ELMO3, EXOC1, EXOC2, EXOC3, EXOC4, EXOC5, EXOC7, EXOC8, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRYL, GATA6, HNF4A, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KIRREL, KRAS, LATS2, LIMS1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB4, MYO10, NCKAP1, NF2, NRP1, PAK2, PARVA, PDCD10, PKN2, PLXNA1, PTK2, PTPN12, PTPN14, PXN, RAB10, RAB11A, RABIF, RAC1, RALGAPB, RAPGEF1, RAPH1, RASAL2, RHOG, RNF146, RSU1, SGK223, SNAP23, SRC, STX4, STXBP3, TAOK1, TAOK2, TCF7L2, TEAD1, TLN1, TNS3, TP53BP2, TRIO, UBE2Z, VASP, VCL, WASF2, WWTR1, YES1",Liver,6.12E-09,5.14E-06
69,"AHCYL1, ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF1, ARF4, ATP2C1, AUP1, BAMBI, C19orf25, C1orf27, CCDC134, CDK5RAP3, CLEC16A, CNPY2, COG1, COG3, CPD, CTBP1, DDRGK1, DERL1, DERL2, DMXL1, DNAJB11, DNAJC21, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, EFTUD1, ERN1, FAF2, FBXO22, FURIN, GANAB, HERPUD1, HNF1A, HNF4A, HSP90B1, IGF1R, IKBKB, IKZF3, IRF4, IRS1, IRS2, KBTBD2, LIN28B, MANF, MAPK6, MAPKAPK5, MARCH6, MEF2C, MPDU1, MPI, NFE2L2, NFKB1, OST4, OSTC, PDIA6, PIGV, PMM2, POU2AF1, PPP1R15B, PRDM1, PRKCSH, PTP4A1, RAB1A, RAB1B, SEC23IP, SEC62, SEC63, SEL1L, SERP1, SLC25A33, SLC33A1, SLC39A9, SLC4A7, SMAD7, STT3A, SURF4, SYVN1, TCF3, TM9SF3, TMED2, TMEM245, TMEM41B, TRAPPC12, TRAPPC13, TRIB1, TRIM71, TRIP11, TRPM7, UBA5, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, UGP2, UNC50, VAPA, VPS54, XBP1",Liver,6.54E-09,5.14E-06
70,"FNDC4, MAB21L1, PHOX2A, TLX2",Autonomic ganglia,6.57E-09,2.29E-06
71,"ACVR1, ACVR2A, ADAM10, ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, APH1A, ARF1, ARF4, ATP13A1, AUP1, BAMBI, BMPR1A, BMPR2, C1orf27, CCDC134, CNEP1R1, CNPY2, CTDNEP1, DERL2, DNAJB11, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, ERN1, ERP44, FAF2, FKBP1A, FURIN, GANAB, GPAA1, HECTD1, HERPUD1, HNF4A, HSP90B1, IGF1R, IPO8, IRF4, IRS1, JAG1, LEMD3, LRIG1, LRIG3, MAML1, MANF, MEF2C, METRNL, MIB1, MOGS, MPDU1, MPI, NCSTN, NEO1, NOTCH2, OST4, OSTC, PDIA6, PGAP1, PGAP2, PIGC, PIGH, PIGK, PIGL, PIGM, PIGN, PIGO, PIGP, PIGQ, PIGS, PIGT, PIGU, PIGV, PIGW, PIGY, PMM2, POFUT1, POGLUT1, POU2AF1, PRDM1, PRKCSH, PSEN1, PSENEN, RBPJ, RGMB, RNF111, RPN2, SEC62, SEC63, SEL1L, SERP1, SKI, SKIL, SLC33A1, SLC35B2, SMAD1, SMAD3, SMAD4, SMAD6, SMAD7, SMURF1, SMURF2, SSR2, SSR3, STT3A, SURF4, SYVN1, TCF3, TGFBR1, TGFBR2, TGFBR3, TMEM127, TMEM41B, UBA5, UBAC1, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, UGGT1, UGP2, XBP1",Liver,7.74E-09,5.14E-06
72,"ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF1, ARF4, ATP13A1, ATP2C1, AUP1, B3GALT6, B3GAT3, B4GALT7, C19orf25, C1orf27, C3orf58, CCDC134, CCND2, CDK5RAP3, CHUK, CNPY2, COG4, CPD, DDRGK1, DERL2, DMXL1, DNAJB11, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, EFTUD1, EGFR, ERN1, EXT1, EXT2, EXTL3, FAF2, FAM20B, FGFR1, FRS2, FURIN, GANAB, GLCE, GPAA1, GRB2, GZF1, HERPUD1, HNF4A, HS2ST1, HSP90B1, IGF1R, IKBKB, IKZF3, IRF4, IRS1, IRS2, KBTBD2, MANF, MEF2C, MOGS, MPDU1, MPI, NDST1, NFKB1, OST4, OSTC, PAPSS1, PDIA6, PGAP1, PGAP2, PIGC, PIGH, PIGK, PIGM, PIGN, PIGO, PIGP, PIGQ, PIGS, PIGT, PIGU, PIGV, PIGW, PIGY, PMM2, POU2AF1, PPP1R15B, PRDM1, PRKCSH, PTEN, PTPN11, RELB, RGMB, RPN2, SEC23IP, SEC62, SEC63, SEL1L, SERP1, SLC10A7, SLC33A1, SLC35B2, SLC39A9, SMAD4, SMAD7, SSR2, SSR3, STT3A, SURF4, SYVN1, TCF3, TM9SF2, TM9SF3, TMEM165, TMEM41B, UBA5, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, UGP2, UNC50, VAPA, XBP1, XYLT2",Liver,7.86E-09,5.14E-06
73,"FOLR1, FOLR2, IL18BP, P2RY6, PHOX2A",Autonomic ganglia,8.22E-09,2.69E-06
74,"CBL, DUSP6, KRAS, LZTR1, MAPK1, NF1, RAF1, RASA2, RRAS2, SHOC2, SOS1",Thyroid,9.47E-09,2.70E-05
75,"CAMKMT, HSD11B2, KLC2, PHOX2A, SLCO2A1, ZNF354A",Autonomic ganglia,9.86E-09,3.03E-06
76,"CCNE1, KIDINS220, MECOM, PAX8, XPR1",Kidney,1.03E-08,1.80E-05
77,"ARHGAP29, PARD3, PARD6B, PAX8, PRKCI",Kidney,1.03E-08,1.80E-05
78,"CRB3, PARD3, PARD6B, PAX8, PRKCI",Kidney,1.03E-08,1.80E-05
79,"DUSP6, GRB2, KRAS, LZTR1, MAPK1, NF1, NRAS, PTPN11, RAF1, RCE1, SHOC2, SOS1",Thyroid,1.03E-08,2.70E-05
80,"ADAM10, C14orf80, C16orf59, C2CD3, C5orf34, CCDC77, CCP110, CCSAP, CDK5RAP2, CENPJ, CENPO, CENPP, CENPQ, CENPU, CEP120, CEP135, CEP152, CEP192, CEP350, CEP41, CEP44, CEP57, CEP63, CEP97, CTDSPL2, CTNND1, DET1, DUSP4, DUSP5, FBXO17, FGFR1OP, FOSL1, G3BP1, GABPA, GABPB1, GTPBP4, HEATR2, HIVEP1, HNF4A, HTT, HYLS1, IMMP2L, JUN, JUNB, KANSL1, KBTBD2, KIAA1731, MAP2K4, MAP2K7, MAP3K1, MAPK14, MFSD7, MIIP, PCM1, PCNT, PIAS4, PINX1, PLK4, POC1A, POC1B, POC5, PPP1R35, PPP2R3C, RFWD2, RTTN, SAMD4B, SASS6, SPICE1, SRF, STIL, STK40, TBC1D31, TDP2, TFAP4, TRIB1, TRIM37, TTLL5, TUBD1, TUBE1, URB1, WASL, WRAP73, ZFP36L1, ZNF622",Skin,1.05E-08,3.06E-06
81,"ABI1, ACTR2, ACTR3, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, CD151, CDC42, CDX2, COMMD3, CRK, CRKL, CTNNB1, CYFIP1, DENND4A, DENND4C, DLG5, DOCK5, ELMO2, ELMO3, EXOC1, EXOC2, EXOC3, EXOC4, EXOC5, EXOC7, EXOC8, FERMT1, FERMT2, FGFR1OP2, GATA6, HSP90B1, ILK, ITGA3, ITGAV, ITGB1, ITGB5, JUP, KRAS, LIMS1, MAP2K5, MAP3K2, MAPK7, MARK2, MESDC2, MOB4, MYO10, NCKAP1, PAK2, PARVA, PKN2, PTK2, PTPN12, PXN, RAB10, RAB11A, RABIF, RAC1, RALGAPB, RAPGEF1, RAPH1, RBM47, RHOG, RSU1, SGK223, SNAP23, SRC, STX4, STXBP3, TAOK1, TCF7L2, TEAD1, TLN1, TNS3, TP53BP2, TRAF7, TRIO, TTC7A, UBE2Z, VASP, VCL, WASF2, WWTR1, YES1",Large intestine,1.52E-08,1.86E-05
82,"CSNK2A1, CSNK2A2, CSNK2A3, CSNK2B, KANSL3, KIDINS220, PAX8, XPR1",Kidney,1.65E-08,2.16E-05
83,"ATP13A1, AUP1, BAK1, BAX, BAZ2B, BCL11A, BCL2, BCL2L2, CCND3, CEP55, CHIC2, CITED2, CSTF2T, DDHD2, DENND4A, ETV6, FBXO7, FLI1, FLT3, GAB2, GFI1, GNG5, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, ID2, IKZF1, IRF4, IRF8, JADE2, KCNQ5, KMT2A, LMO2, LYL1, LZTR1, MAML1, MARCH5, MARCH6, MCL1, MEF2C, MEF2D, MEIS2, MYB, NCKAP1L, NF1, PATZ1, PBX2, PIK3R5, PIM1, PLCG2, PMAIP1, POU2AF1, PRDM1, PTPN2, PTPRA, REEP4, RER1, RPS27L, SIK3, SLC5A3, SOS1, SPI1, SPRED2, SPTLC2, STAT5B, STUB1, TALDO1, TCF3, THAP3, TM2D2, TM2D3, TRIM8, UBE2J2, VDAC2, WSB1, WSB2, ZEB2, ZFP64",Bone,1.74E-08,4.55E-05
84,"AMOTL2, KIRREL, LATS2, NF2, RNF146, SAV1",Thyroid,1.76E-08,3.07E-05
